order_id,order_date,category,sub_category,region,segment,quantity,sales,discount,profit
5037,2024-07-11,Furniture,Tables,South,Home Office,2,329.28,0,-34.21
5038,2024-12-01,Office Supplies,Binders,East,Corporate,2,543.76,0.15,-1.05
5039,2024-02-09,Furniture,Chairs,South,Consumer,2,82.54,0.3,-3.42
5040,2024-09-19,Furniture,Furnishings,East,Home Office,2,1126.66,0,-11.79
5041,2024-01-21,Technology,Accessories,West,Corporate,1,643.29,0,99.12
5042,2024-01-11,Furniture,Chairs,East,Corporate,3,1020.09,0,164.08
5043,2024-01-06,Furniture,Tables,North,Corporate,1,746.48,0.2,1.49
5044,2024-05-12,Furniture,Bookcases,West,Consumer,5,121.75,0,-16.01
5045,2024-02-22,Furniture,Tables,west,Corporate,5,2617.9,0.2,204.2
5046,2024-04-27,Office Supplies,Storage,South,Corporate,4,2343.16,0,
5047,2024-12-09,Office Supplies,Binders,SOUTH,Home Office,2,277.92,0,50.75
5048,2024-08-06,Office Supplies,Storage,South,Consumer,1,222.54,0,-4.09
5049,2024-04-12,Office Supplies,Storage,SOUTH,Corporate,1,10.84,0.1,-1.05
5050,2024-02-09,Office Supplies,Paper,South,Consumer,5,404.55,0.1,52.21
5051,2024-02-19,Office Supplies,Binders,East,Consumer,3,2052.21,0,366.88
5052,2024-03-10,Technology,Copiers,East,Corporate,4,1995.12,0,-255.59
5053,2024-10-27,Technology,Copiers,South,Home Office,5,3228.5,0.3,436.7
5054,2024-11-12,Technology,Accessories,NORTH,Consumer,1,307.53,0.1,35.78
5055,2024-08-26,Technology,Phones,South,Consumer,1,601.13,0.15,152.74
5056,2024-05-08,Furniture,Chairs,west,Consumer,4,2430.36,0,534.47
5057,2024-05-25,Office Supplies,Art,WEST,Home Office,1,497.41,0.2,-20.24
5058,2024-12-10,Technology,Accessories,east,Home Office,3,1375.59,0,125.47
5059,2024-08-10,Office Supplies,Storage,North,Home Office,4,1672.24,0.1,124.84
5060,2024-01-10,Furniture,Tables,East,Corporate,2,140.82,0.15,39.99
5061,2024-02-19,Office Supplies,Storage,west,Consumer,,121.98,0.15,-1.98
5062,2024-06-08,Office Supplies,Paper,East,Home Office,2,1438.38,0.1,60.9
5063,2024-05-24,Furniture,Chairs,West,Corporate,1,338.78,0.1,2.45
5064,2024-02-07,Office Supplies,Binders,East,Corporate,4,77.04,0.2,-0.31
5065,2024-02-12,Office Supplies,Binders,West,Home Office,2,1213.94,0.3,-106.96
5066,2024-04-09,Furniture,Chairs,East,Consumer,2,827.32,0,195.74
5067,2024-09-07,Office Supplies,Binders,West,Home Office,4,294.64,0.2,13.07
5068,2024-03-06,Technology,Accessories,East,Home Office,2,675.48,0,-0.75
5069,2024-08-18,Technology,Machines,West,Corporate,4,1286.2,0,220.72
5070,2024-06-25,Furniture,Tables,West,Corporate,2,695.32,0.15,-31.79
5071,2024-04-12,Furniture,Tables,East,Corporate,2,1298.78,0,381.36
5072,2024-04-13,Technology,Copiers,West,Home Office,2,554.36,0,54.92
5073,2024-11-26,Technology,Machines,South,Home Office,5,3402.1,0,-49.29
5074,2024-05-28,Furniture,Furnishings,West,Corporate,5,3497.9,0,-302.14
5075,2024-09-28,Office Supplies,Art,WEST,Corporate,2,1556.14,0,375.89
5076,2024-02-27,Furniture,Tables,South,Home Office,4,2255.16,0.3,366.87
5077,2024-04-19,Office Supplies,Binders,NORTH,Consumer,1,519.95,0,172.22
5078,2024-02-03,Technology,Machines,West,Consumer,2,848.6,0.15,-39.06
5079,2024-08-09,Office Supplies,Paper,NORTH,Corporate,2,1038.42,0,91.02
5080,2024-11-10,Furniture,Tables,North,Home Office,1,27.21,0.1,7.16
5081,2024-07-12,Technology,Copiers,north,Home Office,1,399.43,0.2,6.08
5082,2024-12-28,Office Supplies,Storage,west,Corporate,3,189.81,0.1,57.22
5083,2024-05-04,Office Supplies,Paper,South,Corporate,3,1204.95,0,359.36
5084,2024-07-02,Office Supplies,Art,North,Consumer,1,28.67,0.15,-1.93
5085,2024-06-24,Furniture,Chairs,South,Home Office,1,798.05,0,11.67
5086,2024-07-27,Furniture,Furnishings,North,Home Office,2,1576.28,0.1,-92.74
5087,2024-02-18,Furniture,Chairs,EAST,Corporate,5,869.25,0,203.72
5088,2024-04-12,Office Supplies,Art,NORTH,Corporate,3,2209.23,0,25.75
5089,2024-11-25,Technology,Copiers,North,Consumer,2,84.22,0,6.91
5090,2024-06-12,Furniture,Bookcases,South,Home Office,2,549.26,0.15,-59.86
5091,2024-10-26,Technology,Machines,east,Home Office,4,3030.92,0,-417.88
5092,2024-07-26,Furniture,Chairs,West,Corporate,2,1463.4,0.3,99.1
5093,2024-05-27,Office Supplies,Paper,North,Home Office,4,2482.08,0.15,-67.36
5094,2024-02-17,Office Supplies,Art,East,Home Office,1,319.43,0,-8.42
5095,2024-03-14,Furniture,Chairs,West,Corporate,1,790.38,0,128.28
5096,2024-08-06,Furniture,Chairs,West,Home Office,1,115.02,0.1,16.58
5097,2024-05-09,Technology,Accessories,North,Corporate,3,664.38,0,145.52
5098,2024-03-10,Furniture,Furnishings,south,Consumer,3,476.16,0,22.87
5099,2024-02-01,Furniture,Tables,North,Consumer,2,1414.86,0,382.41
5100,2024-04-20,Office Supplies,Binders,east,Consumer,5,2353.6,0,85.01
5101,2024-01-04,Furniture,Furnishings,,Home Office,4,1923.84,0.15,40.64
5102,2024-05-02,Furniture,Bookcases,EAST,Consumer,3,1765.38,0,454.36
5103,2024-02-07,Office Supplies,Art,east,Corporate,1,638.27,0.15,49.78
5104,2024-11-18,Office Supplies,Binders,West,Consumer,1,525.92,0.1,93.58
5105,2024-05-24,Office Supplies,Storage,East,Consumer,3,2124.36,0.1,111.32
5106,2024-01-14,Office Supplies,Paper,West,Consumer,1,344.77,0.3,-25.28
5107,2024-01-02,Technology,Machines,West,Consumer,3,367.71,0.3,78.48
5108,2024-03-17,Furniture,Bookcases,SOUTH,Corporate,1,741.14,0,31.03
5109,2024-08-11,Furniture,Bookcases,South,Consumer,1,490.04,0.2,17.23
5110,2024-04-27,Technology,Accessories,South,Home Office,2,309.08,0,-39.92
5111,2024-04-24,Technology,Accessories,West,Consumer,5,3594.3,0,1049.29
5112,2024-08-18,Technology,Phones,EAST,Home Office,5,2526.8,0,440.96
5113,2024-08-17,Office Supplies,Paper,West,Corporate,2,302.44,0,48.22
5114,2024-08-27,Office Supplies,Art,South,Home Office,1,650.32,0.1,-56.46
5115,2024-09-17,Furniture,Bookcases,West,Corporate,4,168.84,0.2,-11.46
5116,2024-07-21,Technology,Machines,NORTH,Home Office,5,587.95,0.3,-48.07
5117,2024-05-26,Technology,Phones,SOUTH,Corporate,5,702.2,0.3,103.49
5118,2024-03-11,Furniture,Chairs,East,Corporate,3,681.72,0.3,37.32
5119,2024-09-08,Office Supplies,Art,South,Home Office,2,608.18,0,-35.85
5120,2024-05-04,Furniture,Bookcases,East,Consumer,5,2146.35,0.2,479.31
5121,2024-07-24,Office Supplies,Binders,East,Home Office,5,1517.3,0.1,471.46
5122,2024-08-08,Technology,Accessories,East,Consumer,1,496.15,0,-0.9
5123,2024-11-11,Technology,Machines,East,Home Office,4,45.64,0,-1.79
5124,2024-03-16,Office Supplies,Art,West,Consumer,1,493.89,0,-68.58
5125,2024-09-08,Furniture,Bookcases,EAST,Corporate,2,942.08,0.15,-66.57
5126,2024-12-05,Office Supplies,Art,SOUTH,Consumer,2,171.38,0.2,-10.65
5127,2024-01-21,Technology,Machines,West,Consumer,5,2271.2,0,334.69
5128,2024-01-02,Technology,Copiers,west,Consumer,3,89.79,0,-2.8
5129,2024-04-05,Furniture,Chairs,North,Home Office,2,335.24,0.15,48.83
5130,2024-05-21,Technology,Copiers,South,Consumer,1,795.31,0.2,153.65
5131,2024-08-03,Technology,Phones,West,Home Office,4,2111.48,0,-78.18
5132,2024-06-24,Furniture,Bookcases,South,Consumer,4,3019.4,0,621.52
5133,2024-02-17,Office Supplies,Art,east,Consumer,1,144.12,0,39.04
5134,2024-06-20,Furniture,Tables,east,Corporate,1,309.76,0.3,35.85
5135,2024-01-28,Technology,Copiers,West,Home Office,1,355.4,0.2,-9.41
5136,2024-10-06,Office Supplies,Paper,West,Consumer,1,36.0,0,-3.48
5137,2024-01-05,Furniture,Bookcases,South,Consumer,4,2073.6,0,411.62
5138,2024-04-27,Technology,Phones,North,Corporate,5,2158.9,0.2,-202.12
5139,2024-02-02,Technology,Copiers,north,Consumer,1,759.91,0.3,120.68
5140,2024-11-07,Furniture,Bookcases,WEST,Consumer,2,524.24,0.1,-9.16
5141,2024-06-25,Office Supplies,Storage,EAST,Corporate,3,1223.85,0.3,-5.29
5142,2024-02-12,Technology,Phones,WEST,Home Office,2,1133.36,0.15,128.17
5143,2024-09-07,Technology,Phones,east,Consumer,2,1224.24,0,-180.97
5144,2024-08-19,Office Supplies,Binders,West,Consumer,2,1532.38,0.15,-25.68
5145,2024-08-06,Furniture,Bookcases,South,Consumer,1,751.58,0.3,-57.64
5146,2024-07-24,Technology,Phones,East,Corporate,1,343.48,0.2,-37.76
5147,2024-09-06,Furniture,Bookcases,East,Home Office,2,1572.2,0.2,-41.77
5148,2024-09-05,Office Supplies,Paper,North,Corporate,5,3380.25,0.2,343.08
5149,2024-10-08,Office Supplies,Paper,West,Corporate,1,273.9,0.2,64.11
5150,2024-10-05,Furniture,Tables,East,Home Office,4,532.92,0,112.76
5151,2024-05-24,Technology,Machines,south,Consumer,1,140.04,0.2,-11.11
5152,2024-05-14,Office Supplies,Paper,South,Home Office,2,329.98,0.2,80.7
5153,2024-07-28,Office Supplies,Paper,West,Consumer,5,1774.3,0,177.86
5154,2024-10-24,Technology,Machines,WEST,Corporate,2,28.72,0,8.73
5155,2024-11-23,Office Supplies,Art,South,Home Office,3,2050.29,0.2,-97.18
5156,2024-12-04,Furniture,Furnishings,West,Home Office,2,402.98,0.1,74.92
5157,2024-08-01,Technology,Accessories,East,Corporate,3,2064.72,0.15,329.28
5158,2024-02-02,Furniture,Bookcases,North,Corporate,2,878.5,0,182.82
5159,2024-09-07,Furniture,Bookcases,North,Corporate,4,1543.32,0,261.79
5160,2024-04-22,Office Supplies,Storage,West,Corporate,1,320.07,0.3,70.88
5161,2024-07-02,Technology,Machines,north,Corporate,1,69.4,0.1,10.26
5162,2024-12-13,Technology,Machines,EAST,Corporate,3,2332.47,0.3,539.5
5163,2024-11-07,Office Supplies,Paper,SOUTH,Consumer,2,1034.68,0.2,-30.63
5164,2024-09-21,Furniture,Bookcases,West,Corporate,1,626.08,0.1,15.42
5165,2024-11-06,Furniture,Bookcases,West,Corporate,2,24.26,0.2,4.84
5166,2024-07-20,Office Supplies,Paper,East,Corporate,4,309.92,0,-22.82
5167,2024-06-26,Office Supplies,Art,NORTH,Home Office,1,429.21,0,71.5
5168,2024-05-09,Furniture,Chairs,South,Home Office,3,270.57,0,74.97
5169,2024-07-26,Furniture,Furnishings,East,Consumer,3,427.95,0.2,52.79
5170,2024-09-03,Furniture,Bookcases,South,Consumer,4,2692.12,0.2,627.46
5171,2024-08-16,Technology,Phones,East,Consumer,3,168.54,0.1,45.92
5172,2024-10-28,Technology,Copiers,South,Home Office,4,60.88,0.3,0.44
5173,2024-07-14,Technology,Copiers,East,Corporate,4,278.24,0.2,6.72
5174,2024-12-11,Technology,Phones,North,Home Office,5,3927.75,0.15,307.44
5175,2024-03-11,Furniture,Chairs,South,Home Office,1,690.74,0,14.27
5176,2024-05-18,Technology,Accessories,East,Corporate,1,663.11,0,18.29
5177,2024-09-12,Office Supplies,Art,East,Corporate,1,527.1,0.3,-33.59
5178,2024-02-26,Furniture,Bookcases,EAST,Home Office,1,325.11,0.15,80.91
5179,2024-01-07,Technology,Phones,West,Consumer,5,3689.65,0.15,730.71
5180,2024-12-20,Furniture,Furnishings,South,Home Office,4,302.28,0,55.47
5181,2024-07-25,Office Supplies,Paper,North,Consumer,1,732.13,0.2,-83.92
5182,2024-07-02,Furniture,Bookcases,East,Consumer,2,52.22,0.15,7.58
5183,2024-10-23,Furniture,Furnishings,North,Corporate,2,725.42,0,137.82
5184,2024-02-03,Technology,Accessories,West,Home Office,4,1532.12,0,250.42
5185,2024-02-07,Office Supplies,Binders,North,Consumer,5,529.3,0.1,-67.22
5186,2024-01-12,Technology,Accessories,West,Consumer,5,3001.6,0.2,666.95
5187,2024-08-15,Technology,Phones,East,Home Office,4,2986.2,0,916.05
5188,2024-11-27,Furniture,Chairs,NORTH,Home Office,3,218.85,0,1.37
5189,2024-06-19,Technology,Accessories,West,Corporate,4,1426.36,0.2,-76.18
5190,2024-08-13,Furniture,Bookcases,South,Corporate,5,3155.65,0,764.65
5191,2024-11-23,Technology,Machines,east,Home Office,5,3318.25,0,944.97
5192,2024-10-14,Technology,Phones,South,Corporate,1,307.57,0.2,9.37
5193,2024-05-09,Furniture,Furnishings,East,Corporate,2,268.5,0.3,43.54
5194,2024-03-09,Furniture,Bookcases,South,Home Office,5,3199.2,0.15,522.98
5195,2024-07-07,Office Supplies,Storage,North,Corporate,5,3013.25,0,14.27
5196,2024-10-25,Furniture,Furnishings,West,Corporate,1,635.42,0.1,68.79
5197,2024-09-09,Technology,Machines,north,Home Office,5,2111.35,0.1,195.88
5198,2024-12-10,Furniture,Tables,south,Consumer,2,933.02,0,47.81
5199,2024-06-28,Technology,Accessories,SOUTH,Corporate,1,303.62,0.1,66.59
5200,2024-10-01,Furniture,Bookcases,North,Home Office,1,36.53,0.3,7.24
5201,2024-07-04,Office Supplies,Paper,East,Corporate,2,1232.26,0.3,133.15
5202,2024-07-03,Furniture,Bookcases,North,Consumer,1,50.29,0.15,1.49
5203,2024-10-21,Technology,Copiers,West,Consumer,2,1477.0,0.2,389.51
5204,2024-09-13,Office Supplies,Storage,South,Home Office,1,364.19,0,12.91
5205,2024-06-02,Furniture,Tables,SOUTH,Corporate,3,2173.83,0.3,471.04
5206,2024-01-07,Office Supplies,Art,NORTH,Corporate,4,2404.4,0.15,297.84
5207,2024-07-04,Technology,Phones,West,Corporate,2,780.48,0,55.17
5208,2024-01-06,Furniture,Chairs,West,Consumer,5,921.2,0.15,221.89
5209,2024-01-21,Technology,Accessories,West,Corporate,1,367.34,0,4.14
5210,2024-06-08,Furniture,Furnishings,North,Consumer,4,219.24,0.2,13.28
5211,2024-04-05,Furniture,Furnishings,south,Corporate,1,224.17,0.3,-0.27
5212,2024-08-04,Furniture,Bookcases,WEST,Corporate,1,783.11,0,129.61
5213,2024-05-25,Technology,Accessories,West,Consumer,1,776.85,0.1,241.57
5214,2024-03-02,Furniture,Tables,North,Corporate,5,2919.55,0,-227.21
5215,2024-09-05,Technology,Phones,West,Corporate,2,23.04,0.3,5.19
5216,2024-04-09,Office Supplies,Paper,East,Corporate,3,458.22,0.3,-19.22
5217,2024-10-24,Furniture,Tables,South,Consumer,2,1222.82,0,-57.45
5218,2024-12-24,Technology,Accessories,east,Consumer,3,997.26,0.2,245.82
5219,2024-08-03,Technology,Machines,east,Home Office,1,333.52,0.3,20.62
5220,2024-01-06,Technology,Machines,south,Corporate,4,1212.88,0.15,287.67
5221,2024-04-27,Office Supplies,Art,NORTH,Home Office,5,3468.6,0,830.95
5222,2024-08-15,Office Supplies,Binders,East,Home Office,3,90.78,0.3,7.54
5223,2024-03-04,Furniture,Tables,north,Consumer,2,415.72,0.3,95.36
5224,2024-11-19,Furniture,Chairs,south,Home Office,2,846.2,0.2,48.81
5225,2024-08-16,Office Supplies,Binders,SOUTH,Consumer,3,1216.8,0,-115.57
5226,2024-04-05,Furniture,Furnishings,South,Consumer,4,1850.16,0.2,71.5
5227,2024-09-02,Furniture,Furnishings,West,Home Office,2,1553.38,0,370.41
5228,2024-07-27,Office Supplies,Art,South,Home Office,3,1936.38,0,498.66
5229,2024-06-08,Technology,Phones,East,Home Office,5,1717.45,0.2,-198.16
5230,2024-09-22,Furniture,Tables,North,Consumer,1,188.13,0.1,56.7
5231,2024-10-09,Office Supplies,Binders,NORTH,Home Office,4,2010.16,0.2,194.79
5232,2024-07-08,Furniture,Chairs,EAST,Consumer,1,237.14,0,5.64
5233,2024-05-03,Furniture,Chairs,North,Home Office,2,952.6,0,66.67
5234,2024-05-09,Technology,Accessories,East,Home Office,1,591.39,0.2,58.27
5235,2024-06-15,Office Supplies,Paper,west,Home Office,3,749.76,0.1,57.01
5236,2024-09-18,Office Supplies,Binders,South,Consumer,2,1551.98,0.1,-201.22
5237,2024-08-09,Office Supplies,Paper,South,Corporate,2,1407.82,0,-3.16
5238,2024-08-22,Furniture,Tables,North,Corporate,1,418.43,0.3,20.49
5239,2024-12-05,Technology,Phones,South,Home Office,2,552.48,0,-44.11
5240,2024-08-09,Furniture,Bookcases,North,Home Office,5,2541.15,0.2,624.82
5241,2024-10-04,Furniture,Furnishings,NORTH,Home Office,2,648.04,0.15,-41.41
5242,2024-08-10,Office Supplies,Binders,West,Home Office,4,1154.28,0,52.34
5243,2024-08-13,Technology,Copiers,EAST,Home Office,2,494.04,0.15,0.85
5244,2024-06-11,Furniture,Furnishings,West,Consumer,5,2451.95,0,807.63
5245,2024-10-16,Furniture,Furnishings,NORTH,Corporate,2,1474.1,0.3,6.41
5246,2024-01-20,Technology,Copiers,West,Corporate,4,1149.48,0,216.38
5247,2024-07-21,Technology,Accessories,North,Home Office,3,2230.35,0,646.62
5248,2024-10-11,Office Supplies,Art,West,Home Office,4,1715.24,0.3,-124.72
5249,2024-09-06,Office Supplies,Storage,East,Corporate,1,528.18,0,102.97
5250,2024-04-17,Technology,Copiers,South,Home Office,1,335.69,0,55.41
5251,2024-11-24,Technology,Phones,East,Home Office,1,556.47,0,135.68
5252,2024-10-01,Office Supplies,Binders,East,Consumer,4,133.32,0,13.19
5253,2024-10-04,Technology,Machines,South,Corporate,1,133.85,0.3,9.81
5254,2024-08-27,Furniture,Chairs,north,Home Office,2,988.54,0.3,173.1
5255,2024-06-09,Technology,Phones,EAST,Consumer,1,35.98,0.2,-2.89
5256,2024-07-01,Technology,Phones,east,Home Office,1,183.84,0.1,23.38
5257,2024-04-02,Furniture,Furnishings,North,Consumer,1,745.35,0.3,-32.99
5258,2024-08-03,Furniture,Furnishings,East,Corporate,1,545.05,0.2,91.23
5259,2024-08-01,Furniture,Furnishings,East,Home Office,5,3479.45,0,-220.13
5260,2024-07-18,Office Supplies,Art,SOUTH,Corporate,2,201.52,0.15,48.95
5261,2024-06-18,Office Supplies,Art,North,Corporate,1,316.02,0.1,-2.33
5262,2024-06-26,Furniture,Furnishings,north,Consumer,1,201.02,0,-20.84
5263,2024-03-12,Office Supplies,Paper,West,Consumer,2,362.04,0.1,12.53
5264,2024-04-08,Technology,Accessories,East,Home Office,5,1838.15,0,590.13
5265,2024-10-17,Office Supplies,Art,East,Corporate,1,109.16,0.3,-6.77
5266,2024-01-22,Technology,Phones,East,Corporate,4,1833.88,0,-261.33
5267,2024-06-07,Technology,Phones,South,Consumer,4,2856.56,0,374.2
5268,2024-02-08,Office Supplies,Storage,SOUTH,Corporate,2,219.28,0.2,8.68
5269,2024-03-09,Office Supplies,Art,West,Home Office,1,33.36,0.2,6.66
5270,2024-12-15,Technology,Machines,WEST,Home Office,1,799.95,0.1,18.76
5271,2024-10-24,Technology,Phones,south,Corporate,1,572.94,0,29.98
5272,2024-03-13,Technology,Accessories,west,Corporate,4,163.96,0,27.01
5273,2024-07-22,Furniture,Tables,West,Corporate,4,1857.88,0,-174.76
5274,2024-10-23,Technology,Machines,North,Home Office,1,779.56,0.2,-58.88
5275,2024-07-23,Office Supplies,Paper,East,Consumer,4,1283.88,0.2,161.94
5276,2024-08-11,Furniture,Bookcases,North,Corporate,4,1629.72,0.2,345.49
5277,2024-07-22,Technology,Copiers,North,Consumer,3,2036.37,0.3,-122.84
5278,2024-11-08,Furniture,Chairs,east,Consumer,3,646.86,0,-42.68
5279,2024-03-05,Office Supplies,Art,north,Corporate,4,2274.04,0.2,166.26
5280,2024-03-21,Technology,Accessories,North,Corporate,2,1122.92,0,328.28
5281,2024-09-14,Furniture,Tables,East,Consumer,5,3767.8,0.2,552.41
5282,2024-12-10,Technology,Copiers,West,Consumer,1,294.78,0,-37.82
5283,2024-08-04,Office Supplies,Storage,SOUTH,Corporate,1,266.33,0.1,32.26
5284,2024-08-03,Office Supplies,Paper,NORTH,Corporate,4,2306.16,0.2,243.21
5285,2024-06-01,Furniture,Furnishings,West,Home Office,2,1472.9,0.2,-8.26
5286,2024-01-01,Technology,Machines,SOUTH,Home Office,5,1611.35,0,-2.97
5287,2024-12-20,Furniture,Tables,North,Corporate,2,619.42,0.2,130.16
5288,2024-05-08,Office Supplies,Paper,EAST,Corporate,1,42.59,0.15,9.1
5289,2024-07-16,Technology,Copiers,North,Corporate,4,537.64,0,81.35
5290,2024-03-15,Technology,Phones,South,Consumer,4,3104.6,0,1054.07
5291,2024-01-02,Office Supplies,Art,south,Corporate,5,2462.4,0.3,419.65
5292,2024-09-23,Office Supplies,Paper,EAST,Consumer,2,1427.18,0,98.97
5293,2024-08-26,Technology,Accessories,South,Consumer,3,1630.38,0.15,-72.47
5294,2024-11-28,Furniture,Bookcases,West,Home Office,1,779.75,0.15,106.0
5295,2024-06-16,Furniture,Bookcases,East,Corporate,4,2085.64,0,589.47
5296,2024-08-23,Technology,Phones,south,Home Office,1,126.07,0.15,3.86
5297,2024-08-13,Technology,Copiers,East,Home Office,2,200.52,0,67.03
5298,2024-11-04,Furniture,Chairs,South,Corporate,1,429.31,0,87.81
5299,2024-02-24,Furniture,Furnishings,South,Home Office,3,2184.93,0.15,-204.08
5300,2024-09-17,Office Supplies,Binders,WEST,Home Office,4,2689.8,0,439.24
5301,2024-09-06,Technology,Phones,West,Corporate,1,454.8,0.3,-32.93
5302,2024-01-01,Office Supplies,Binders,west,Corporate,4,1918.0,0,153.16
5303,2024-10-28,Furniture,Tables,West,Consumer,1,454.74,0.2,103.82
5304,2024-11-01,Furniture,Bookcases,East,Home Office,5,1059.7,0,38.69
5305,2024-06-04,Technology,Machines,WEST,Home Office,2,887.16,0.3,94.1
5306,2024-08-01,Furniture,Tables,East,Home Office,5,3955.5,0.1,-331.83
5307,2024-03-05,Furniture,Furnishings,NORTH,Corporate,3,2236.71,0.3,303.09
5308,2024-05-15,Office Supplies,Paper,East,Home Office,1,29.56,0,2.77
5309,2024-11-22,Office Supplies,Binders,NORTH,Home Office,3,960.39,0.1,288.49
5310,2024-09-03,Technology,Copiers,west,Home Office,2,540.26,0,3.04
5311,2024-12-15,Furniture,Chairs,south,Corporate,2,931.72,0.1,267.25
5312,2024-04-01,Office Supplies,Binders,East,Corporate,1,372.93,0.15,-40.36
5313,2024-09-09,Furniture,Tables,East,Consumer,2,918.96,0.15,111.08
5314,2024-11-19,Furniture,Chairs,North,Corporate,4,352.8,0.3,-2.27
5315,2024-12-12,Furniture,Tables,North,Corporate,3,2052.09,0,51.74
5316,2024-11-11,Technology,Copiers,EAST,Corporate,5,1951.8,0,579.88
5317,2024-11-15,Furniture,Bookcases,SOUTH,Consumer,2,723.92,0.15,145.33
5318,2024-05-24,Furniture,Chairs,South,Corporate,3,1336.5,0,-151.36
5319,2024-08-12,Furniture,Chairs,South,Corporate,5,2776.6,0.2,631.18
5320,2024-05-18,Furniture,Furnishings,East,Corporate,1,609.21,0.2,-7.79
5321,2024-04-20,Technology,Phones,SOUTH,Corporate,2,1385.24,0.2,-111.06
5322,2024-02-26,Furniture,Chairs,South,Consumer,5,3508.3,0,735.01
5323,2024-11-11,Furniture,Tables,East,Consumer,1,177.66,0,50.43
5324,2024-03-02,Furniture,Furnishings,West,Corporate,5,1686.35,0,-179.43
5325,2024-05-15,Technology,Machines,West,Corporate,5,103.7,0,13.7
5326,2024-06-06,Office Supplies,Binders,West,Home Office,1,24.7,0,-1.94
5327,2024-11-19,Furniture,Bookcases,East,Home Office,5,2242.25,0.2,611.14
5328,2024-12-16,Technology,Machines,South,Corporate,5,174.95,0.2,0.65
5329,2024-05-05,Technology,Copiers,East,Home Office,2,34.28,0.1,-3.09
5330,2024-01-20,Office Supplies,Paper,South,Consumer,1,106.56,0.15,9.14
5331,2024-12-05,Technology,Accessories,East,Corporate,1,697.96,0.3,151.81
5332,2024-08-28,Furniture,Chairs,East,Consumer,2,356.76,0,107.21
5333,2024-02-22,Office Supplies,Art,South,Consumer,4,88.76,0.3,10.73
5334,2024-07-13,Office Supplies,Storage,north,Corporate,4,2021.72,0,-272.22
5335,2024-04-11,Furniture,Bookcases,west,Corporate,5,1731.15,0,-1.33
5336,2024-03-27,Office Supplies,Paper,South,Corporate,2,466.46,0,-69.05
5337,2024-08-07,Furniture,Tables,East,Home Office,3,153.54,0.3,-4.85
5338,2024-03-14,Technology,Machines,North,Corporate,5,602.2,0,115.97
